	illicit_drug_user	person
	newly_infected_with_HCV	person
	evaluated_for_HCV	person
	racial_minority	person
	ethnic_minority	person
	chronically_infected_with_HCV	person
	die_from_HCV	person
	tested_for_HCV_where_receiving_drug_abuse_treatment	person
	unaware_of_voluntary_test_sites	person
	unsure_of_meaning_of_testing_positive_for_HCV	person
	mistrust_healthcare_provider_motivations	person
	do_not_pursue_HCV_treatment	person
	source_of_information_about_HCV	person
	tested_positive_for_HCV	person
	treatment_for_opioid_dependence	drug
	takes_methadone	person
	takes_suboxone	person
	develops_drug_induced_hepatitis	person
	employed	person
	negative_outcome_during_drug_abuse_treatment	person
	negative_outcome_after_drug_abuse_treatment	person
	increase_opportunities_for_employment	person
	substance_user	person
	have_HIV	person
	have_poor_HIV_care_outcomes	person
	patient_navigation	person
	engage_with_substance_abuse_care	person
	provide_financial_incentives	person
	drug_user	person
	receives_contingency_management_intervention	person
	improved_outcome	person
	receives_contingency_management_intervention_at	site
	receive_abstinence_based_treatment	person
	remain_in_treatment	x
	opioid_free_urine	x
	stimulant_free_urine	x
	short_buprenorphine_taper	person
	long_buprenorphine_taper	person
	opioid_free_urine_specimen	person
	drug_user	person
	treated_in	location,person
	treated_with_suboxone	person
	treated_with_clonidine	person
	has_opioid_free_urine	person
	hispanic	person
	part_of_clinical_population	person
	part_of_research_population	person
	excluded_from_clinical_trial	person
	substance_user	person
	receive_motivational_interviewing	person
	remain_in_outpatient_treatment_program	person
	decrease_substance_use	person
	nicotine_dependence	person
	drug_dependence	person
	alcohol_dependence	person
	tested_for_hiv_at_drug_abuse_treatment_center	person
	receive_drug_abuse_treatment	person
	receive_hiv_test_results	person
	have_unprotected_intercourse	person
	drug_user	person
	receives_phone_call	person
	compliant_with_abuse_treatment_protocol	person
	substance_user	person
	become_ill	person
	die	person
	opioid_addicted	person
	opioid_free_urine	person
	treated_with_detoxification	person
	treated_with_counseling	person
	treated_with_buprenorphine	person
	youth	person
	drug_user	person
	recieved_hiv_and_hcv_counseling	person
	recieved_one_session_therapeutic_alliance	person
	risky_sexual_behavior	person
	risky_drug_behavior	person
	recieved_general_counseling	person
